6446c7bc904f8086cda9f94a23256eba	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Stappiaceae		
733bb7586fe47d0dc7519a3ab4e1d6e8	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Stappiaceae	D_5__Labrenzia	
6a5513b494d307e1c4276ff4a6da1d8b	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Roseibacterium	
4ef3cef2c07bc5bd4f791f20ed91ef48	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae		
79346fe4876640613032cff033e9cd5b	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Planctomycetales	D_4__Rubinisphaeraceae		
77caf142e552b317810b00e9c3a78563	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Ruegeria	
dd5a59afc2cff7f8e78604872e07bcab	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Stappiaceae	D_5__Labrenzia	
2832a0bcf6ae6d1d6c9e67822301c207	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria				
a799b6347eed328bc2413d8df13381a5	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Alteromonas	
487965c3f74b8f2f6461f6f97782d2b9	D_0__Bacteria	D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Bacillaceae	D_5__Geobacillus	
85cff93835410d8cd21044c73b5922c2	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales			
cd390e8db1a56013cda5a83fa5efaeba	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales			
992bed55e2da564978f3638ea90b44c7	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Francisellales	D_4__Francisellaceae		
c3def7cba0407ac9aa9047ffbe90e5f6	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Oceanospirillales	D_4__Oleiphilaceae	D_5__Oleiphilus	
f0fb679a2683c69140f20d9fa6adfd4f	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
842d2c6b055966c57784a4cae2b2139f	D_0__Bacteria	D_1__Acidobacteria	D_2__Holophagae	D_3__Acanthopleuribacterales	D_4__Acanthopleuribacteraceae	D_5__Acanthopleuribacter	D_6__Acanthopleuribacter pedis
caeb2e033b71fa98d3d8407c11e14915	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Bdellovibrionales	D_4__Bacteriovoracaceae	D_5__Peredibacter	
b3497645b3b4497e9fa9d51208c0caa6	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Saprospiraceae		
026a3094160fd9af2664cb130a04046e	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Bdellovibrionales	D_4__Bdellovibrionaceae	D_5__OM27 clade	
ef0df02e9a2fab3e81768f460c53c780	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales			
1857d8042bd2a104435e82b2b0595e5a	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae		
0e1d230e0d69495267466132508f9361	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Hyphomonadaceae	D_5__Algimonas	
d4ff80d7eb5426795c8c2e894f7796f8	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Cryomorphaceae		
8a45e0b7d52715cbb937eaa0aaebd098	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
9238ce13e0e4139f8a4372880e536bc8	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Winogradskyella	
1b49aa290721414c6f85361d4d5d24d4	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Cyclobacteriaceae	D_5__Fulvivirga	D_6__uncultured Flexibacter sp.
ac3157af1e921ae067030f47ae86ceb8	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodospirillales	D_4__Terasakiellaceae		
98ca03c7b7ba76e834676706856933df	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Aestuariibacter	
6707892336f64cfe5886e198a792873b	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Micavibrionales			
96b8b3d3f4be45703be059f7d28847da	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Sediminibacterium	
8decd7165ef30b3619fa53d3254488a2	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Saprospiraceae	D_5__Phaeodactylibacter	
8060610a468a1a63946b07ad3a8e8537	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Micavibrionales	D_4__Micavibrionaceae		
a3560679679380fbc62d17d61a3ce8c4	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Marinobacteraceae	D_5__Marinobacter	
c52c8697b6bd962b261582e3e7756791	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Aestuariibacter	
1f055be706628a74e9f9e48d1c91b62b	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Marinobacteraceae	D_5__Marinobacter	
0705be91bbde16afa3e8cbe50068472c	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria				
ad6dbafb92c27f6212d897ac569176e2	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Hyphomonadaceae	D_5__Oceanicaulis	
0ee3fd5b0ed7a3f38211189817afcdc0	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Oceanospirillales	D_4__Alcanivoracaceae	D_5__Alcanivorax	
4b3790272a59e9bcc056869a80332005	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodospirillales	D_4__Thalassospiraceae	D_5__Thalassospira	
4ca5de1f267fa701c3d67deaf3118ad8	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodospirillales	D_4__Terasakiellaceae		
284fdf2bd0470394cb34f8b7e7c0ac91	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Alteromonas	
893987589309e68208d95acbc34af4fb	D_0__Bacteria	D_1__Acidobacteria	D_2__Holophagae	D_3__Acanthopleuribacterales	D_4__Acanthopleuribacteraceae	D_5__Acanthopleuribacter	
cf63179f6eb172dc94cdfa2cb3a780c1	D_0__Bacteria	D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Staphylococcaceae	D_5__Staphylococcus	
741efb4d61309e26f24aa026676f62a6	D_0__Bacteria	D_1__Planctomycetes	D_2__Phycisphaerae	D_3__Phycisphaerales	D_4__Phycisphaeraceae		
4b5a0888230a2f16586b9ef51b73ebcf	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Nonlabens	
88efc34ab768d8e0ea22cbf07ad7f01c	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae		
b322430d32964488d04e33a460ec881b	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Muricauda	
ae8a6381f4e78d50e3fad0e2faad8ea0	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Vibrionales	D_4__Vibrionaceae	D_5__Vibrio	
c5ca791fa9331edd54315f556bdf3691	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Hydrotalea	D_6__Hydrotalea sandarakina
86418e3c3cd8da71c12b3a025d6e82a7	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Hyphomicrobiaceae	D_5__Filomicrobium	
11f1af144b3c549c0ce437caf27f7bd6	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Pseudoalteromonadaceae	D_5__Pseudoalteromonas	
2a092ab4dd0a23438cfaee1127d6bc29	D_0__Bacteria	D_1__Chlamydiae	D_2__Chlamydiae	D_3__Chlamydiales	D_4__Simkaniaceae	D_5__Candidatus Rhabdochlamydia	
0fc85aac1e7f4a6de518d7dd44b72e9d	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodospirillales	D_4__Terasakiellaceae		
60564bbe81885fc2eddabbe75eb3de6a	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Myxococcales	D_4__Nannocystaceae		
613a6844484c3b2f90d38399d2698624	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Vibrionales	D_4__Vibrionaceae	D_5__Vibrio	
829bf850d8d9a5f0b5a2c82b598f7c7f	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia	D_3__Microtrichales	D_4__Microtrichaceae	D_5__Sva0996 marine group	
31226fcd1607a9546e1b4c055811ba21	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS3a marine group	
d92c62a3cec60f35a6d6997b1e75150d	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia	D_3__Microtrichales	D_4__Microtrichaceae	D_5__Sva0996 marine group	
c88e50dec056eb2e7c8e1c547b6f3252	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Profundibacterium	
04463c077785387a372e21b3b71602b5	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Micavibrionales	D_4__Micavibrionaceae		
c4a284a4802526b8d13df9402c91d32b	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Cyclobacteriaceae		
9eee17f08d33b67a62e3ee0d5e633918	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__PB19			
64327a21fdd074ef4ab5274a8c1aed27	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodospirillales	D_4__Terasakiellaceae		
7b09bc624749198b26138107d91b50d8	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria				
6f7110e5747b918bc2da639ab4bb8c0d	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Cyclobacteriaceae	D_5__Marinoscillum	
b51021695644a82911718bc115ee3aaa	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae		
6ac762d66c0046746a57c9ec0eb02e29	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Bdellovibrionales	D_4__Bdellovibrionaceae	D_5__Bdellovibrio	
e5d9947be723f7bb7a3535de01240b67	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Colwelliaceae	D_5__Thalassotalea	
9e17939d81996efda3489204b13b510c	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Gilvibacter	
1fec16f605a3f8bb54b69d4727ce2089	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia	D_3__Microtrichales	D_4__Ilumatobacteraceae	D_5__Ilumatobacter	
1733138eb92e7a9833a0a5c43f52b18a	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Colwelliaceae	D_5__Thalassotalea	
8cfd4109f4544d86cf6dc16617a78977	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
4cf05c2c773187a18f17016856d1d3c6	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Coxiellales	D_4__Coxiellaceae	D_5__Coxiella	
c9369e8c42d282eafbddd43e014f9a45	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodovibrionales	D_4__Kiloniellaceae	D_5__Kiloniella	
4e74e2a99da77e7dc5bb114af0d28c13	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae		
1bdfe45342980d5ac6b03896f002c5f9	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Myxococcales	D_4__Nannocystaceae		
df3af866cf71556634af6da98036ca90	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Cyclobacteriaceae	D_5__Ekhidna	
f8e4a3e6416f4482485f1a7ee43ca3c9	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Bdellovibrionales	D_4__Bdellovibrionaceae	D_5__OM27 clade	
5912dd566dffcc86d12c718dd15c9901	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Colwelliaceae	D_5__Thalassotalea	
a59fab75ea4d14b7a714afdc1200eeb7	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria				
96a30604bc047c62c1038756a2408ead	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Aestuariibacter	
c1f062fb0d7b61f306a66be3ea3e2e6f	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__KI89A clade			
b4ccdb4a6a73d2d0d995e0b06a58d641	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Pseudomonadales	D_4__Pseudomonadaceae	D_5__Pseudomonas	
8c693ff81d19fd665a64360c303cd479	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Diaphorobacter	
9bc092de80795478e92657641bbaa122	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria				
76e69cc93407dd5c8a9f975bd0ee59c0	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Tenderiales	D_4__Tenderiaceae	D_5__Candidatus Tenderia	
b873e2345c810ee694c30e98396ac064	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Rickettsiaceae		
5d1ac94d438e579834550e3652b1437c	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Nioella	
0c056630ac256b98984501832a64d9bd	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodospirillales	D_4__Terasakiellaceae		
451a9e9b879e836601850fe0340ca3d6	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Thalassobaculales	D_4__Thalassobaculaceae	D_5__Thalassobaculum	
9aebe662a2f3fa53a53d1a692d576e8e	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Maribacter	
ee0ee459af27c9782ac9e50ceb6464b2	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Cryomorphaceae		
