	a1_1_01	a1_1_02	a1_1_03	a1_1_04	a1_1_05	a1_2_01	a1_2_02	a1_2_03	a1_2_04	a1_2_05	a4_1_01	a4_1_02	a4_1_03	a4_1_04	a4_1_05	a4_2_01	a4_2_02	a4_2_03	a4_2_04	a4_2_05	con1	con2	con3
dd53a26ddf6fe7a7a9cd0ecb53dc073e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0
1bdfe45342980d5ac6b03896f002c5f9	0	0	0	0	0	0	0	0	0	0	25	44	38	59	0	0	0	0	0	0	50	0	0
44d09a7944c49c97652d002382e34506	0	0	30	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5662e8e49049fbb2dcc9a2e4fffd6920	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0
cc287e8837027bd44fd14a55a566adad	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
e332e718556395ac2d1fd24594b998a9	0	15	40	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e97823023d5af2cede0fbfef255d7eda	16	0	0	17	14	0	0	0	0	0	0	12	0	0	0	0	15	0	0	0	0	0	22
6446c7bc904f8086cda9f94a23256eba	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	149	0	686	0	0	0	0
2f9adcf29b2bc9eabc3cbde90721d68c	0	0	70	17	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37e2e96eab0d08262fe4d10eb9a89ade	0	10	0	0	0	0	0	0	0	0	13	0	27	0	0	0	0	0	0	0	0	0	0
4c62f2452b1a5c8afe689eca12268019	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60564bbe81885fc2eddabbe75eb3de6a	0	0	0	0	0	0	0	0	0	0	110	18	21	27	146	0	0	0	0	5	0	0	0
e6006a75b3c3195aaa0b74582b6a8d39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
1733138eb92e7a9833a0a5c43f52b18a	0	0	120	0	53	0	0	0	0	0	0	0	0	0	26	0	17	0	0	0	0	0	15
95ec5221fbc13b6bd2d2d06d524d5016	0	0	0	0	0	0	0	0	0	0	0	0	33	14	0	0	0	0	0	0	0	0	0
09246a5bbf2124258ea753db570f2e2c	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52ef078d35c8cdc45cc346914276e223	0	0	30	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
